연번,호선,역번호,역명,경도,위도,
248,7,2742,장승배기,126.939025,37.504845,
249,7,2743,신대방삼거리,126.928218,37.499717,
250,7,2744,보라매,126.920112,37.499916,
251,7,2745,신풍,126.909806,37.500107,
252,7,2746,대림,126.896997,37.492984,
253,7,2747,남구로,126.887372,37.486181,
254,7,2748,가산디지털단지,126.882704,37.480376,
255,7,2749,철산,126.868217,37.47616,
256,7,2750,광명사거리,126.854854,37.47927,
257,7,2751,천왕,126.838684,37.486699,
258,7,2752,온수,126.823294,37.492059,
259,8,2811,암사,127.127521,37.550127,
260,8,2812,천호,127.123179,37.53792,
261,8,2813,강동구청,127.120461,37.530348,
262,8,2814,몽촌토성,127.11274,37.517692,
263,8,2815,잠실,127.104267,37.514649,
264,8,2816,석촌,127.106995,37.505396,
265,8,2817,송파,127.11212,37.49978,
266,8,2818,가락시장,127.118279,37.493004,
267,8,2819,문정,127.122473,37.485931,
268,8,2820,장지,127.126229,37.478609,
269,8,2821,복정,127.126746,37.471016,
270,8,2828,남위례,127.139047,37.462839,
271,8,2822,산성,127.149927,37.456886,
272,8,2823,남한산성입구,127.159845,37.451568,
273,8,2824,단대오거리,127.156735,37.445057,
274,8,2825,신흥,127.14759,37.440952,
275,8,2826,수진,127.140936,37.437575,
276,8,2827,모란,127.129921,37.433888,
